,item,index,level,area,log(area)
0,level0_0,0,0,448,6.104793232414985
1,level0_0,1,0,572,6.349138991379798
2,level0_0,2,0,506,6.226536669287466
3,level0_1,0,0,12969,9.470317173335742
4,level0_1,1,0,11400,9.341368634382587
5,level0_1,2,0,16900,9.735068900911164
6,level0_10,0,0,432,6.068425588244111
7,level0_10,1,0,750,6.620073206530356
8,level0_10,2,0,440,6.0867747269123065
9,level0_10,3,0,780,6.659293919683638
10,level0_10,4,0,806,6.692083742506628
11,level0_10,5,0,702,6.553933404025811
12,level0_10,6,0,420,6.040254711277414
13,level0_10,7,0,420,6.040254711277414
14,level0_10,8,0,588,6.376726947898627
15,level0_10,9,0,351,5.860786223465865
16,level0_10,10,0,216,5.375278407684165
17,level0_10,11,0,540,6.29156913955832
18,level0_10,12,0,345,5.84354441703136
19,level0_10,13,0,506,6.226536669287466
20,level0_10,14,0,432,6.068425588244111
21,level0_10,15,0,375,5.926926025970411
22,level0_10,16,0,621,6.431331081933479
23,level0_10,17,0,529,6.270988431858299
24,level0_10,18,0,754,6.625392368007956
25,level0_10,19,0,750,6.620073206530356
26,level0_100,0,0,14017,9.548026157663058
27,level0_100,1,0,24288,10.097737680195356
28,level0_101,0,0,43792,10.68720643128046
29,level0_102,0,0,21840,9.991498429858842
30,level0_102,1,0,19890,9.897972371848018
31,level0_102,2,0,28336,10.251888360022615
32,level0_103,0,0,7820,8.964439833539357
33,level0_103,1,0,21840,9.991498429858842
34,level0_104,0,0,19803,9.893588720356881
35,level0_105,0,0,31602,10.360975688711445
36,level0_106,0,0,24633,10.111842286376898
37,level0_107,0,0,26928,10.200921916430588
38,level0_108,0,0,16371,9.703266755854342
39,level0_109,0,0,35144,10.467209185655616
40,level0_11,0,0,575,6.354370040797351
41,level0_11,1,0,616,6.423246963533519
42,level0_11,2,0,725,6.586171654854675
43,level0_110,0,0,16974,9.739438040529622
44,level0_110,1,0,17710,9.781884730776879
45,level0_111,0,0,19642,9.885425409717719
46,level0_111,1,0,24600,10.110501721920453
47,level0_111,2,0,26928,10.200921916430588
48,level0_112,0,0,22632,10.027120112981404
49,level0_113,0,0,18995,9.851931065621725
50,level0_114,0,0,28032,10.241101993736118
51,level0_114,1,0,27117,10.20791611646652
52,level0_114,2,0,16644,9.719805070102831
53,level0_115,0,0,21472,9.974505039771408
54,level0_116,0,0,5796,8.664923303440572
55,level0_116,1,0,5313,8.577911926450943
56,level0_117,0,0,15147,9.625557771527026
57,level0_117,1,0,15065,9.620129451564402
58,level0_118,0,0,18980,9.85114107216392
59,level0_119,0,0,21160,9.959867885972235
60,level0_12,0,0,171,5.14166355650266
61,level0_120,0,0,11385,9.34005197849784
62,level0_120,1,0,14766,9.60008251961911
63,level0_120,2,0,14820,9.603732898850078
64,level0_120,3,0,24288,10.097737680195356
65,level0_121,0,0,14168,9.55874117946267
66,level0_121,1,0,19116,9.85828095969805
67,level0_121,2,0,20010,9.903987427577778
68,level0_121,3,0,24426,10.103403417731034
69,level0_121,4,0,20043,9.905635244593586
70,level0_122,0,0,24633,10.111842286376898
71,level0_123,0,0,22080,10.00242750039103
72,level0_124,0,0,16900,9.735068900911164
73,level0_124,1,0,11960,9.389323027504624
74,level0_124,2,0,9936,9.20391980417326
75,level0_125,0,0,16113,9.68738167857357
76,level0_125,1,0,11960,9.389323027504624
77,level0_125,2,0,19642,9.885425409717719
78,level0_126,0,0,20544,9.930324206489688
79,level0_126,1,0,11385,9.34005197849784
80,level0_126,2,0,18078,9.802451008358355
81,level0_127,0,0,30720,10.332669187261608
82,level0_127,1,0,23184,10.051217664560463
83,level0_128,0,0,21965,9.99720555640988
84,level0_128,1,0,15515,9.64956257688248
85,level0_128,2,0,30447,10.323742746116928
86,level0_128,3,0,14950,9.612466578818832
87,level0_128,4,0,16478,9.709781436875536
88,level0_129,0,0,15990,9.679718805828
89,level0_130,0,0,13161,9.485013189834323
90,level0_131,0,0,16800,9.72913416539135
91,level0_131,1,0,14030,9.548953173096507
92,level0_132,0,0,21648,9.982668350410568
